Word,Description,Hint
알뜰교통카드,"대중교통 이용 시 할인혜택을 주는 카드로 교통비 절약에 도움되는 이것은 무엇일까요?",앞글자 '알'
주유비,"자동차의 연료를 넣는데 드는 비용으로 운전에 필수적인 이것은 무엇일까요?",앞글자 '주'
주차비,"자동차를 주차장에 세워두는 비용으로 도심에서 꼭 필요한 이것은 무엇일까요?",앞글자 '주'
택시비,"택시를 이용할 때 지불하는 요금으로 미터기로 계산되는 이것은 무엇일까요?",앞글자 '택'
교통카드,"대중교통을 이용할 때 사용하는 선불카드로 편리한 지불수단인 이것은 무엇일까요?",앞글자 '교'
계절할인,"특정 계절에 상품을 싸게 파는 것으로 시즌 오프의 대표적인 이것은 무엇일까요?",앞글자 '계'
할인점,"상품을 정상가보다 싸게 파는 매장으로 대량구매로 가격을 낮춘 이것은 무엇일까요?",앞글자 '할'
세일,"상품의 가격을 일시적으로 낮추어 파는 것으로 판매촉진을 위한 이것은 무엇일까요?",앞글자 '세'
이월상품,"지난 시즌의 상품을 할인해서 파는 것으로 재고처리를 위한 이것은 무엇일까요?",앞글자 '이'
특가,"특별히 낮은 가격으로 제공되는 상품으로 파격적인 할인가의 이것은 무엇일까요?",앞글자 '특'
출판,"책을 만들어 파는 일로 지식과 정보를 전달하는 이것은 무엇일까요?",앞글자 '출'
인쇄비,"글이나 그림을 종이에 찍어내는 비용으로 출판과정에 필요한 이것은 무엇일까요?",앞글자 '인'
원고료,"글을 써서 받는 대가로 저작물 창작의 보상인 이것은 무엇일까요?",앞글자 '원'
도서비,"책을 구입하는데 드는 비용으로 독서를 위해 필요한 이것은 무엇일까요?",앞글자 '도'
독자,"책을 읽는 사람으로 출판물의 소비자인 이것은 무엇일까요?",앞글자 '독'
전자책,"디지털 형태로 제공되는 책으로 온라인으로 읽을 수 있는 이것은 무엇일까요?",앞글자 '전'
도서관,"책을 빌려 읽을 수 있는 곳으로 지식의 보고인 이것은 무엇일까요?",앞글자 '도'
